Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CD,Geo_CSA,Geo_MSAMSA,SE_T001_001,SE_T001_005,SE_T001_010,SE_T001_004,SE_T001_006,SE_T001_009,SE_T001_003,SE_T001_007,SE_T001_008,SE_T001_002,SE_T002_001,SE_T002_005,SE_T002_010,SE_T002_004,SE_T002_006,SE_T002_009,SE_T002_003,SE_T002_007,SE_T002_008,SE_T002_002,SE_T600_001,SE_T600_002,SE_T600_003,SE_T600_004,SE_T600_005,SE_T600_006,SE_T600_007,SE_T600_008,SE_T600_009,SE_T600_010,SE_T003_001,SE_T003_005,SE_T003_010,SE_T003_004,SE_T003_006,SE_T003_009,SE_T003_003,SE_T003_007,SE_T003_008,SE_T003_002,SE_T800_001,SE_T800_002,SE_T800_003,SE_T800_004,SE_T800_005,SE_T800_006,SE_T800_007,SE_T800_008,SE_T800_009,SE_T800_010,SE_T1200_001,SE_T1200_002,SE_T1200_003,SE_T1200_004,SE_T1200_005,SE_T1200_006,SE_T1200_007,SE_T1200_008,SE_T1200_009,SE_T1200_010,SE_T004_001,SE_T004_005,SE_T004_010,SE_T004_004,SE_T004_006,SE_T004_009,SE_T004_003,SE_T004_007,SE_T004_008,SE_T004_002,SE_T1000_001,SE_T1000_002,SE_T1000_003,SE_T1000_004,SE_T1000_005,SE_T1000_006,SE_T1000_007,SE_T1000_008,SE_T1000_009,SE_T1000_010
"01","Alabama","Alabama","00","01",,,,,1730817,91215,137778,190441,310967,220904,262185,179310,132377,205640,100267,49328,20745,14118,10285,3210,1753,530,194,104,,,,,,,,,,,76223039,3927421,5034945,7160459,11738566,9161087,11583376,9374502,6608357,11634326,,,,,,,,,,,44038.7626190406,43056.745052897,36543.8967033924,37599.3562310637,37748.5906864716,41470.8968601746,44180.1628621012,52280.9770788021,49920.7339643594,56576.1816767166,18914735,852795,1208587,1732463,2829250,2259281,2938778,2428415,1701347,2963819,,,,,,,,,,
"02","Alaska","Alaska","00","02",,,,,261053,18876,26845,35596,45757,30691,36767,31244,15088,20189,21293,12190,4082,2667,1535,448,245,91,23,12,,,,,,,,,,,15732010,1219085,1331899,1834001,2511820,1807137,2058547,2235761,1136277,1597483,,,,,,,,,,,60263.6629343467,64583.8631065904,49614.4160923822,51522.6710866389,54894.7701990952,58881.6591183083,55988.9846873555,71558.0911535015,75309.9814422057,79126.4054683243,3817383,205490,290999,411938,566159,433149,531238,612988,342891,422531,,,,,,,,,,
"04","Arizona","Arizona","00","04",,,,,2549128,123299,166970,255590,430147,324945,396701,252909,200192,398375,144867,78203,24948,18854,14236,4740,2662,756,294,174,,,,,,,,,,,123144606,6758873,6759512,10150629,16907128,13690173,18596876,13328132,11268406,25684877,,,,,,,,,,,48308.5219730041,54816.9328218396,40483.3922261484,39714.4997848116,39305.4653409183,42130.7390481466,46878.8230934633,52699.3187272893,56287.9935262148,64474.1186068403,31501921,1352438,1640665,2506897,4151066,3448316,4711019,3487366,3176020,7028134,,,,,,,,,,
"05","Arkansas","Arkansas","00","05",,,,,1043210,60370,91077,119760,185731,139833,149799,103989,68508,124143,66975,34582,13796,8858,6210,2042,1002,309,102,74,,,,,,,,,,,44439456,2800968,3381116,4729894,7197827,5595359,6594941,4664053,3506339,5968959,,,,,,,,,,,42598.763432099,46396.6870962399,37123.7085103813,39494.7728790915,38754.0421362077,40014.5816795749,44025.2671913698,44851.4073603939,51181.453260933,48081.3175128682,11606374,655228,900334,1277086,1925368,1515684,1724336,1236453,914105,1457780,,,,,,,,,,
"06","California","California","00","06",,,,,15223664,856845,1089100,1583414,2537156,1950550,2310152,1348262,1002285,2545900,954632,538992,164167,116670,84565,28403,15441,3980,1452,962,,,,,,,,,,,1020958926,56458501,50678283,73779758,124877002,107652267,146902664,111957507,92395548,256257396,,,,,,,,,,,67063.942425424,65891.1483407151,46532.2587457534,46595.3679833575,49219.2841118165,55190.7241547256,63590.0425599701,83038.3909062185,92184.9054909532,100654.933815154,255991839,10291408,12144701,18064239,31277474,27368515,38189716,29324683,24493598,64837505,,,,,,,,,,
"08","Colorado","Colorado","00","08",,,,,2423817,153424,187284,270935,423872,303898,378421,214923,157770,333290,172548,102419,28081,20020,14059,4440,2518,641,230,140,,,,,,,,,,,133693599,8718308,8423824,12024235,19270360,15728608,21700934,15319834,10994518,21512978,,,,,,,,,,,55158.2891777721,56824.9296068412,44978.8769996369,44380.5156218281,45462.68684886,51756.2076749436,57346.0088102933,71280.570250741,69687.0000633834,64547.3251522698,33825521,1714498,2033439,2938267,4737972,4001710,5641188,4255425,3140766,5362256,,,,,,,,,,
"09","Connecticut","Connecticut","00","09",,,,,1528867,80088,113231,163284,261876,188142,268111,131914,81807,240414,89054,46157,16987,12074,8721,2749,1763,387,125,91,,,,,,,,,,,97728524,4620283,5476969,8144214,13661775,11334837,16059757,8590782,7535708,22304199,,,,,,,,,,,63922.1881301644,57690.0784137449,48369.8722081409,49877.5997648269,52168.8699995418,60246.1810759958,59899.6572315198,65124.1111633337,92115.6869216571,92774.1271306995,26311251,961304,1343935,2043270,3508208,3034199,4366225,2307224,2247069,6499817,,,,,,,,,,
"10","Delaware","Delaware","00","10",,,,,405809,23236,29549,44737,70965,54065,65922,35184,28821,53330,25771,14220,4483,3297,2382,788,428,103,43,27,,,,,,,,,,,23045652,1357951,1339058,2003394,3139191,2508594,3505364,2366285,2575980,4249835,,,,,,,,,,,56789.4058534927,58441.6853158891,45316.5250939118,44781.5901826229,44235.7641090679,46399.5930824008,53174.4182518734,67254.5759436107,89378.5781201207,79689.3868366773,6156711,266886,334992,489109,761136,646293,949810,686336,793576,1228573,,,,,,,,,,
"11","District of Columbia","District of Columbia","00","11",,,,,539557,20956,28651,41670,83472,69864,95750,65263,40899,93032,23751,11750,4276,3056,2738,1017,632,190,60,32,,,,,,,,,,,43490513,1893906,2187787,3130186,5967338,5377016,8336963,6226381,3562170,6808766,,,,,,,,,,,80604.1122624672,90375.3578927276,76359.8827266064,75118.4545236381,71489.0981406939,76964.0444291767,87070.1096605744,95404.4558172318,87096.7505317979,73187.3548886405,11228848,407974,555002,779062,1553192,1397599,2158282,1700672,934410,1742655,,,,,,,,,,
"12","Florida","Florida","00","12",,,,,8669611,539874,582465,802848,1289625,965488,1247296,649113,523279,2069623,566894,351161,87897,59548,42694,14066,8309,1923,766,530,,,,,,,,,,,404483243,26364561,23965128,33054439,52037204,40765144,56555003,33267550,30154705,108319509,,,,,,,,,,,46655.2931844347,48834.6558641461,41144.3228348484,41171.4782872972,40350.647668896,42222.3207331422,45342.0864013033,51250.7837618412,57626.4382862679,52337.7972703241,102328551,5422610,5923468,8197507,13154148,10456768,14619371,8726658,8053362,27774659,,,,,,,,,,
